site_id,year,n_growing_season_days,passed,failed_variables,GPP_NT_VUT_REF_frac_bad,GPP_NT_VUT_REF_max_consecutive_bad_days,NEE_VUT_REF_frac_bad,NEE_VUT_REF_max_consecutive_bad_days,RECO_NT_VUT_REF_frac_bad,RECO_NT_VUT_REF_max_consecutive_bad_days
CA-TP4,2011,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2012,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2013,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2014,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2015,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2016,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2017,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2018,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2019,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2020,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2021,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2022,245,True,,0.0,0,0.0,0,0.0,0
CA-TP4,2023,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2012,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2013,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2014,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2015,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2016,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2017,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2018,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2019,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2020,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2021,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2022,245,True,,0.0,0,0.0,0,0.0,0
CA-TPD,2023,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2002,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2003,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2004,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2005,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2006,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2007,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2008,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2009,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2010,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe1,2011,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2002,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2003,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2004,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2005,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2006,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2007,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2008,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2009,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2010,245,True,,0.0,0,0.0,0,0.0,0
CH-Oe3,2011,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2001,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2002,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2003,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2004,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2005,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2006,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2007,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2008,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2009,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2010,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2011,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2012,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2013,245,True,,0.0,0,0.0,0,0.0,0
CN-HaM,2014,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2004,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2005,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2006,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2007,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2008,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2009,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2010,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2011,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2012,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2013,245,True,,0.0,0,0.0,0,0.0,0
DE-Gri,2014,245,True,,0.0,0,0.0,0,0.0,0
